"","SpecID","PassNonPass","Order","Family","BLFamilyEnglish","BLFamSequID","Taxo","Genus","Species","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Full.Reference","scientificNameStd","speciesCode","sciName","comName"
"88",4385,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Larus","dominicanus","Kelp Gull",20,20,20,20,0,20,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",0,50,50,0,0,0,0,1,"Ref_3",1,"Jessica",0,952.43,"Dunning08",1,"","","Handbook of the Birds of the World vol.3.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Larus dominicanus","kelgul","Larus dominicanus","Kelp Gull"
"90",4447,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Sterna","caspia","Caspian Tern",0,10,0,80,0,10,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",80,20,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,655,"Dunning08",1,"","","Handbook of the Birds of the World vol.3.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Hydroprogne caspia","caster1","Hydroprogne caspia","Caspian Tern"
"91",4454,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Sterna","sandvicensis","Sandwich Tern",10,0,0,90,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",70,20,10,0,0,0,0,1,"Ref_3",1,"Other",0,199.83,"Dunning08",1,"","","Handbook of the Birds of the World vol.3.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Thalasseus sandvicensis","santer1","Thalasseus sandvicensis","Sandwich Tern"
"94",4474,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Sterna","antillarum","Least Tern",50,0,0,50,0,0,0,0,0,0,"Omnivore","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,45.86,"Dunning08",1,"","","Handbook of the Birds of the World vol.3.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Sternula antillarum","leater1","Sternula antillarum","Least Tern"
"148",5397,"Nonpasseriformes","Suliformes","Fregatidae","Frigatebirds",27,"BL3","Fregata","magnificens","Magnificent Frigatebird",10,10,10,60,0,10,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",20,80,0,0,0,0,0,1,"Ref_1",1,"Jessica",0,1490.52,"Dunning08",1,"","","Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Fregata magnificens","magfri","Fregata magnificens","Magnificent Frigatebird"
