Anser anser_Graylag Goose
Piranga rubra_Summer Tanager
Piranga olivacea_Scarlet Tanager
Pheucticus aureoventris_Black-backed Grosbeak
Thlypopsis superciliaris_Superciliaried Hemispingus
Sporathraupis cyanocephala_Blue-capped Tanager
Anisognathus igniventris_Scarlet-bellied Mountain Tanager
Dubusia taeniata_Buff-breasted Mountain Tanager
Pipraeidea melanonota_Fawn-breasted Tanager
Thraupis episcopus_Blue-gray Tanager
Conirostrum rufum_Rufous-browed Conebill
Diglossa humeralis_Black Flowerpiercer
Diglossa albilatera_White-sided Flowerpiercer
Diglossa sittoides_Rusty Flowerpiercer
Diglossa caerulescens_Bluish Flowerpiercer
Diglossa cyanea_Masked Flowerpiercer
Catamblyrhynchus diadema_Plushcap
Sicalis flaveola_Saffron Finch
Sicalis luteola_Grassland Yellow-Finch
