"","SpecID","PassNonPass","Order","Family","BLFamilyEnglish","BLFamSequID","Taxo","Genus","Species","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Full.Reference","scientificNameStd","speciesCode","sciName","comName"
"35",2878,"Nonpasseriformes","Strigiformes","Tytonidae","Barn owls",70,"BL3","Tyto","alba","Barn Owl",10,80,10,0,0,0,0,0,0,0,"VertFishScav","Ref_5","A","Hamish",0,0,90,10,0,0,0,0,"Ref_5",1,"Christian",1,403.32,"Dunning08",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Tyto alba","brnowl","Tyto alba","Barn Owl"
"36",2941,"Nonpasseriformes","Strigiformes","Strigidae","Owls",71,"BL3","Megascops","choliba","Tropical Screech-owl",90,0,0,0,10,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,40,50,0,0,10,0,"Ref_5",1,"Christian",1,132,"Dunning08",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Megascops choliba","trsowl","Megascops choliba","Tropical Screech-Owl"
"37",3049,"Nonpasseriformes","Strigiformes","Strigidae","Owls",71,"BL3","Glaucidium","brasilianum","Ferruginous Pygmy-owl",60,20,20,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,80,10,10,0,0,0,"Ref_5",1,"Christian",1,75.1,"PrimScale",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Glaucidium brasilianum","fepowl","Glaucidium brasilianum","Ferruginous Pygmy-Owl"
"38",3187,"Nonpasseriformes","Caprimulgiformes","Nyctibiidae","Potoos",74,"BL3","Nyctibius","griseus","Grey Potoo",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,90,0,10,0,"Ref_5",1,"Christian",1,172.04,"Dunning08",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Nyctibius griseus","compot1","Nyctibius griseus","Common Potoo"
"39",3214,"Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",75,"BL3","Chordeiles","acutipennis","Lesser Nighthawk",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,20,70,0,10,0,"Ref_5",1,"Christian",1,48.42,"Dunning08",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Chordeiles acutipennis","lesnig","Chordeiles acutipennis","Lesser Nighthawk"
"40",3215,"Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",75,"BL3","Chordeiles","minor","Common Nighthawk",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,10,0,0,90,0,"Ref_5",1,"Other",1,79.3,"Dunning08",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Chordeiles minor","comnig","Chordeiles minor","Common Nighthawk"
"41",3220,"Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",75,"BL3","Nyctidromus","albicollis","Common Pauraque",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,40,30,20,0,10,0,"Ref_5",1,"Christian",1,57.84,"Dunning08",1,"","","Handbook of the Birds of the World vol.5.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Nyctidromus albicollis","compau","Nyctidromus albicollis","Common Pauraque"
