"","speciesCode","sciName","comName","scientificNameStd"
"98","barant1","Thamnophilus doliatus","Barred Antshrike","Thamnophilus doliatus"
"99","oliwoo1","Sittasomus griseicapillus","Olivaceous Woodcreeper","Sittasomus griseicapillus"
"100","peptyr1","Atalotriccus pilaris","Pale-eyed Pygmy-Tyrant","Atalotriccus pilaris"
"101","cotfly1","Todirostrum cinereum","Common Tody-Flycatcher","Todirostrum cinereum"
"102","yeltyr1","Capsiempis flaveola","Yellow Tyrannulet","Capsiempis flaveola"
"103","yebela1","Elaenia flavogaster","Yellow-bellied Elaenia","Elaenia flavogaster"
"104","nosfly1","Sublegatus arenarum","Northern Scrub-Flycatcher","Sublegatus arenarum"
"105","panfly1","Myiarchus panamensis","Panama Flycatcher","Myiarchus panamensis"
"106","socfly1","Myiozetetes similis","Social Flycatcher","Myiozetetes similis"
"107","strfly1","Myiodynastes maculatus","Streaked Flycatcher","Myiodynastes maculatus"
"108","grykin","Tyrannus dominicensis","Gray Kingbird","Tyrannus dominicensis"
"109","rubpep1","Cyclarhis gujanensis","Rufous-browed Peppershrike","Cyclarhis gujanensis"
"110","yegvir","Vireo flavoviridis","Yellow-green Vireo","Vireo flavoviridis"
"111","blcjay1","Cyanocorax affinis","Black-chested Jay","Cyanocorax affinis"
"112","srwswa1","Stelgidopteryx ruficollis","Southern Rough-winged Swallow","Stelgidopteryx ruficollis"
"113","gybmar","Progne chalybea","Gray-breasted Martin","Progne chalybea"
"114","barswa","Hirundo rustica","Barn Swallow","Hirundo rustica"
"115","yeceup1","Euphonia luteicapilla","Yellow-crowned Euphonia","Euphonia luteicapilla"
"116","thbeup1","Euphonia laniirostris","Thick-billed Euphonia","Euphonia laniirostris"
"117","lesgol","Spinus psaltria","Lesser Goldfinch","Spinus psaltria"
"118","blsspa1","Arremonops conirostris","Black-striped Sparrow","Arremonops conirostris"
"119","easmea","Sturnella magna","Eastern Meadowlark","Sturnella magna"
"120","brocow","Molothrus aeneus","Bronzed Cowbird","Molothrus aeneus"
"121","prowar","Protonotaria citrea","Prothonotary Warbler","Protonotaria citrea"
"122","tenwar","Leiothlypis peregrina","Tennessee Warbler","Leiothlypis peregrina"
"123","yelwar","Setophaga petechia","Yellow Warbler","Setophaga petechia"
"124","blbgra1","Volatinia jacarina","Blue-black Grassquit","Volatinia jacarina"
"125","rubsee1","Sporophila minuta","Ruddy-breasted Seedeater","Sporophila minuta"
"126","varsee3","Sporophila corvina","Variable Seedeater","Sporophila corvina"
"127","banana","Coereba flaveola","Bananaquit","Coereba flaveola"
"128","fuwduc","Dendrocygna bicolor","Fulvous Whistling-Duck","Dendrocygna bicolor"
"129","musduc","Cairina moschata","Muscovy Duck","Cairina moschata"
"130","norsho","Spatula clypeata","Northern Shoveler","Spatula clypeata"
"131","amewig","Mareca americana","American Wigeon","Mareca americana"
"132","rinduc","Aythya collaris","Ring-necked Duck","Aythya collaris"
"133","grhcha1","Ortalis cinereiceps","Gray-headed Chachalaca","Ortalis cinereiceps"
"134","leagre","Tachybaptus dominicus","Least Grebe","Tachybaptus dominicus"
"135","greani1","Crotophaga major","Greater Ani","Crotophaga major"
"136","yebcuc","Coccyzus americanus","Yellow-billed Cuckoo","Coccyzus americanus"
"137","pebcuc1","Coccyzus euleri","Pearly-breasted Cuckoo","Coccyzus euleri"
"138","mancuc","Coccyzus minor","Mangrove Cuckoo","Coccyzus minor"
"139","compau","Nyctidromus albicollis","Common Pauraque","Nyctidromus albicollis"
"140","compot1","Nyctibius griseus","Common Potoo","Nyctibius griseus"
"141","whcswi","Streptoprocne zonaris","White-collared Swift","Streptoprocne zonaris"
"142","rtlhum","Amazilia tzacatl","Rufous-tailed Hummingbird","Amazilia tzacatl"
"143","pabcra","Mustelirallus erythrops","Paint-billed Crake","Mustelirallus erythrops"
"144","sora","Porzana carolina","Sora","Porzana carolina"
"145","comgal1","Gallinula galeata","Common Gallinule","Gallinula galeata"
"146","y00475","Fulica americana","American Coot","Fulica americana"
"147","yebcra1","Hapalocrex flaviventer","Yellow-breasted Crake","Hapalocrex flaviventer"
"148","whtcra1","Laterallus albigularis","White-throated Crake","Laterallus albigularis"
"149","limpki","Aramus guarauna","Limpkin","Aramus guarauna"
"150","killde","Charadrius vociferus","Killdeer","Charadrius vociferus"
"151","uplsan","Bartramia longicauda","Upland Sandpiper","Bartramia longicauda"
"152","leasan","Calidris minutilla","Least Sandpiper","Calidris minutilla"
"153","lobdow","Limnodromus scolopaceus","Long-billed Dowitcher","Limnodromus scolopaceus"
"154","solsan","Tringa solitaria","Solitary Sandpiper","Tringa solitaria"
"155","labter1","Phaetusa simplex","Large-billed Tern","Phaetusa simplex"
"156","comter","Sterna hirundo","Common Tern","Sterna hirundo"
"157","santer1","Thalasseus sandvicensis","Sandwich Tern","Thalasseus sandvicensis"
"158","amwpel","Pelecanus erythrorhynchos","American White Pelican","Pelecanus erythrorhynchos"
"159","leabit","Ixobrychus exilis","Least Bittern","Ixobrychus exilis"
"160","btther1","Tigrisoma mexicanum","Bare-throated Tiger-Heron","Tigrisoma mexicanum"
"161","strher","Butorides striata","Striated Heron","Butorides striata"
"162","whiher1","Syrigma sibilatrix","Whistling Heron","Syrigma sibilatrix"
"163","bcnher","Nycticorax nycticorax","Black-crowned Night-Heron","Nycticorax nycticorax"
"164","hobkit","Chondrohierax uncinatus","Hook-billed Kite","Chondrohierax uncinatus"
"165","swtkit","Elanoides forficatus","Swallow-tailed Kite","Elanoides forficatus"
"166","snakit","Rostrhamus sociabilis","Snail Kite","Rostrhamus sociabilis"
"167","miskit","Ictinia mississippiensis","Mississippi Kite","Ictinia mississippiensis"
"168","norhar2","Circus hudsonius","Northern Harrier","Circus hudsonius"
"169","crahaw","Geranospiza caerulescens","Crane Hawk","Geranospiza caerulescens"
"170","grbhaw1","Buteogallus urubitinga","Great Black Hawk","Buteogallus urubitinga"
"171","whthaw","Geranoaetus albicaudatus","White-tailed Hawk","Geranoaetus albicaudatus"
"172","gryhaw3","Buteo nitidus","Gray-lined Hawk","Buteo nitidus"
"173","shthaw","Buteo brachyurus","Short-tailed Hawk","Buteo brachyurus"
"174","brnowl","Tyto alba","Barn Owl","Tyto alba"
"175","trsowl","Megascops choliba","Tropical Screech-Owl","Megascops choliba"
"176","strowl1","Asio clamator","Striped Owl","Asio clamator"
"177","belkin1","Megaceryle alcyon","Belted Kingfisher","Megaceryle alcyon"
"178","amakin1","Chloroceryle amazona","Amazon Kingfisher","Chloroceryle amazona"
"179","grnkin","Chloroceryle americana","Green Kingfisher","Chloroceryle americana"
"180","kebtou1","Ramphastos sulfuratus","Keel-billed Toucan","Ramphastos sulfuratus"
"181","laufal1","Herpetotheres cachinnans","Laughing Falcon","Herpetotheres cachinnans"
"182","merlin","Falco columbarius","Merlin","Falco columbarius"
"183","perfal","Falco peregrinus","Peregrine Falcon","Falco peregrinus"
"184","blhpar1","Pionus menstruus","Blue-headed Parrot","Pionus menstruus"
"185","relpar","Amazona autumnalis","Red-lored Parrot","Amazona autumnalis"
"186","pabspi1","Synallaxis albescens","Pale-breasted Spinetail","Synallaxis albescens"
"187","mastit1","Tityra semifasciata","Masked Tityra","Tityra semifasciata"
"188","whwbec1","Pachyramphus polychopterus","White-winged Becard","Pachyramphus polychopterus"
"189","yeofly1","Tolmomyias sulphurescens","Yellow-olive Flycatcher","Tolmomyias sulphurescens"
"190","sobtyr1","Camptostoma obsoletum","Southern Beardless-Tyrannulet","Camptostoma obsoletum"
"191","lesela1","Elaenia chiriquensis","Lesser Elaenia","Elaenia chiriquensis"
"192","paltyr3","Zimmerius parvus","Mistletoe Tyrannulet","Zimmerius parvus"
"193","brcfly1","Myiophobus fasciatus","Bran-colored Flycatcher","Myiophobus fasciatus"
"194","wewpew","Contopus sordidulus","Western Wood-Pewee","Contopus sordidulus"
"195","acafly","Empidonax virescens","Acadian Flycatcher","Empidonax virescens"
"196","wilfly","Empidonax traillii","Willow Flycatcher","Empidonax traillii"
"197","ducfly","Myiarchus tuberculifer","Dusky-capped Flycatcher","Myiarchus tuberculifer"
"198","rumfly1","Myiozetetes cayanensis","Rusty-margined Flycatcher","Myiozetetes cayanensis"
"199","pirfly1","Legatus leucophaius","Piratic Flycatcher","Legatus leucophaius"
"200","easkin","Tyrannus tyrannus","Eastern Kingbird","Tyrannus tyrannus"
"201","scrgre1","Hylophilus flavipes","Scrub Greenlet","Hylophilus flavipes"
"202","lesgre1","Pachysylvia decurtata","Lesser Greenlet","Pachysylvia decurtata"
"203","yetvir","Vireo flavifrons","Yellow-throated Vireo","Vireo flavifrons"
"204","reevir1","Vireo olivaceus","Red-eyed Vireo","Vireo olivaceus"
"205","nrwswa","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Stelgidopteryx serripennis"
"206","treswa","Tachycineta bicolor","Tree Swallow","Tachycineta bicolor"
"207","banswa","Riparia riparia","Bank Swallow","Riparia riparia"
"208","cliswa","Petrochelidon pyrrhonota","Cliff Swallow","Petrochelidon pyrrhonota"
"209","istwre1","Cantorchilus elutus","Isthmian Wren","Cantorchilus elutus"
"210","rebbla1","Leistes militaris","Red-breasted Meadowlark","Leistes militaris"
"211","creoro1","Psarocolius decumanus","Crested Oropendola","Psarocolius decumanus"
"212","orcori","Icterus spurius","Orchard Oriole","Icterus spurius"
"213","balori","Icterus galbula","Baltimore Oriole","Icterus galbula"
"214","giacow","Molothrus oryzivorus","Giant Cowbird","Molothrus oryzivorus"
"215","cargra1","Quiscalus lugubris","Carib Grackle","Quiscalus lugubris"
"216","norwat","Parkesia noveboracensis","Northern Waterthrush","Parkesia noveboracensis"
"217","babwar","Setophaga castanea","Bay-breasted Warbler","Setophaga castanea"
"218","bkbwar","Setophaga fusca","Blackburnian Warbler","Setophaga fusca"
"219","yerwar","Setophaga coronata","Yellow-rumped Warbler","Setophaga coronata"
"220","sumtan","Piranga rubra","Summer Tanager","Piranga rubra"
"221","dickci","Spiza americana","Dickcissel","Spiza americana"
"222","crbtan1","Ramphocelus dimidiatus","Crimson-backed Tanager","Ramphocelus dimidiatus"
"223","paltan1","Thraupis palmarum","Palm Tanager","Thraupis palmarum"
"224","relhon1","Cyanerpes cyaneus","Red-legged Honeycreeper","Cyanerpes cyaneus"
"225","tbsfin1","Sporophila funerea","Thick-billed Seed-Finch","Sporophila funerea"
"226","butsal1","Saltator maximus","Buff-throated Saltator","Saltator maximus"
"227","amgplo","Pluvialis dominica","American Golden-Plover","Pluvialis dominica"
"228","hudgod","Limosa haemastica","Hudsonian Godwit","Limosa haemastica"
"229","stisan","Calidris himantopus","Stilt Sandpiper","Calidris himantopus"
"230","pecsan","Calidris melanotos","Pectoral Sandpiper","Calidris melanotos"
"231","yelpip2","Anthus lutescens","Yellowish Pipit","Anthus lutescens"
"232","comnig","Chordeiles minor","Common Nighthawk","Chordeiles minor"
"233","whnjac1","Florisuga mellivora","White-necked Jacobin","Florisuga mellivora"
"234","scbhum1","Phaeochroa cuvierii","Scaly-breasted Hummingbird","Phaeochroa cuvierii"
"235","leater1","Sternula antillarum","Least Tern","Sternula antillarum"
"236","meapar","Amazona farinosa","Mealy Parrot","Amazona farinosa"
"237","sthwoo1","Lepidocolaptes souleyetii","Streak-headed Woodcreeper","Lepidocolaptes souleyetii"
"238","yectyr1","Tyrannulus elatus","Yellow-crowned Tyrannulet","Tyrannulus elatus"
"239","aldfly","Empidonax alnorum","Alder Flycatcher","Empidonax alnorum"
"240","rawwre1","Thryophilus rufalbus","Rufous-and-white Wren","Thryophilus rufalbus"
"241","paibun","Passerina ciris","Painted Bunting","Passerina ciris"
"242","bludac1","Dacnis cayana","Blue Dacnis","Dacnis cayana"
"243","yefgra1","Tiaris olivaceus","Yellow-faced Grassquit","Tiaris olivaceus"
"244","ruqdov","Geotrygon montana","Ruddy Quail-Dove","Geotrygon montana"
"245","chcswi1","Streptoprocne rutila","Chestnut-collared Swift","Streptoprocne rutila"
"246","crowoo1","Thalurania colombica","Crowned Woodnymph","Thalurania colombica"
"247","margod","Limosa fedoa","Marbled Godwit","Limosa fedoa"
"248","redkno","Calidris canutus","Red Knot","Calidris canutus"
"249","surfbi","Calidris virgata","Surfbird","Calidris virgata"
"250","sander","Calidris alba","Sanderling","Calidris alba"
"251","wilpha","Phalaropus tricolor","Wilson's Phalarope","Phalaropus tricolor"
"252","ribgul","Larus delawarensis","Ring-billed Gull","Larus delawarensis"
